physName,comment,commentDate,ratingStaff,ratingPunctuality,ratingHelpfulness,ratingKnowledge
Dr. Theodore Ted Xenodemetropoulos,"I've never had any troubles with rescheduling appointments with Dr. X when I haven't been able to make it in to see him. Office staff are all helpful. He has even called me at home when he has been worried aboute me. Was so impressed. Very caring and intelligent. Keep up the great work, doc!","April 8, 2017",5,5,5,5
Dr. Theodore Ted Xenodemetropoulos,"Everythings on his time, missed a Monday appointment due to illness (my gi issue) he expects 48hrs notice but dose not have any weekend answering or voicemail, left a msg on the only voicemail I could find (intake) which apparently there is no communication there because he has grudged and ignored me since, like a spoiled, only child! If you want such notice you need atleast a voicemail. He did a bunch of tests(while I was healthy) and can't find nothing but here yrs later and a few lost jobs because of my condition, I still have to fight in E.R like its the first time. He may be smart but has not offered one bit of help or prescription in dealing with my sickness and actually changed his opinion based on a fellows (new doc at hospital) harsh reactive judgement contrary to previous discussions nice guy if your filling his pockets but no sound advice at all!","Submitted March 18, 2017",3,4,2,3
Dr. Theodore Ted Xenodemetropoulos,Best doctor I have come across in a long time!!! Takes his time to explain everything and you can tell he cares.,"January 30, 2017",5,5,5,5
Dr. Theodore Ted Xenodemetropoulos,Extremely helpful and takes the time to care about your problems....def one of the best Dr's aeound,"December 11, 2016",5,5,5,5
Dr. Theodore Ted Xenodemetropoulos,"Dr. Xenodemetropoulos is nothing short of amazing. He takes the time to explain everything, does all necessary testing and guides you through your treatment. Definitely one of the best doctors I have ever had. Thank-you so much Dr. X !!!!","May 5, 2016",5,5,5,5
Dr. Theodore Ted Xenodemetropoulos,I am not surprised to read the comments posted. Dr. X has been a blessing. He has helped me so much. I am glad I was referred to him. Keep up the great work!,"February 8, 2016",5,5,5,5
Dr. Theodore Ted Xenodemetropoulos,Dr. Ted has been amazing and has done everything he can do help me feel better!,"January 27, 2015",5,5,5,5
Dr. Theodore Ted Xenodemetropoulos,"Very good doctor. Patient, kind and very helpful. I would definitely visit him again if needed.","September 20, 2014",5,5,5,5
Dr. Theodore Ted Xenodemetropoulos,What an awesome doctor!!! Very compassionate and kind. Definitely knows what he is talking about.,"January 21, 2014",5,5,5,5
Dr. Theodore Ted Xenodemetropoulos,"Has very good patient manners, very thorough, on time, pleasant and easy to talk to.","November 18, 2013",5,5,5,5
Dr. Gary May,"The IMPECCABLE PROFESSIONAL - the Doctor I felt in absolute ""Best Hands"" with my pancreas problems! Starting with the appointment confirmation - a full page (e-mail) of clear directions how to get to his office. Courteous, helpful secretary, minimal waiting time (20 minutes). Dr. Gary May took his time to explain in ample detail the findings of my 2 MRIs, the specifics of my particular case as compared to the g-ral population with pancreas problems, and the exact reasons why he suggested the type & timing of future monitoring. I left his office with the reassuring feeling that a) he cares about my health as much as a trusted friend or family member, and b) I know everything I need to know about my condition and its future potential implications. One can not expect anything more or better from a health care professional! He literally re-established my trust in the profession after 2 pitiful experiences at Princess Margaret Hospital: at the first appointment the doctor there could not locate my MRI results I was called in to discuss; and at the 2nd appointment (get this) the doctor DID NOT SHOW UP !","September 29, 2017",5,5,5,5
Dr. Gary May,Simply the finest Doctor I have ever met. Excellent communicator and exceptionally knowledgeable,"September 21, 2017",5,5,5,5
Dr. Gary May,"An amazing doctor, listens to me about concerns I had, took the time to explain the procedure to me even though I have had the same procedure many times.","September 7, 2017",4,5,5,5
Dr. Gary May,The very best. There is no better. The quintesential professional and the most skilled Doctor I have ever met.,"April 9, 2017",5,5,5,5
Dr. Gary May,I have had many surgical procedures in my life due to a bad burn as a young boy. I would put Dr. May right at the top of all of the doctors that have operated on me. His bedside manner and respect for the patient is excellent. He takes the time to explain exactly what the procedure will entail. It certainly explains why he is at the top of his field!,"March 21, 2017",5,5,5,5
Dr. Gary May,Experience is OK but time wasted is real problem.,"March 18, 2017",1,3,2,2
Dr. Gary May,"Dr. May was a real disappointment. Dr. May is very knowledgeable but for whatever reason did a very cursory job in my case and completely missed diagnosing me with what I told him at our very first meeting that I had. I had MUCH better assistance at another gastroenterology clinic with a doctor who actually listened to what I said, sent me for the right test, and lo and behold I was right. I'm not sure how I could have made the diagnosis easier for Dr. May. Very disappointing experience and his secretary is a very unpleasant person to deal with.","January 29, 2017",1,2,2,4
Dr. Gary May,"Dr May is the top Gastroenterologist in all areas, knowledge, skill, and also approachable with an excellent bedside manner. I have been seeing him for 10 years and he has enabled me to 
avoid extensive invasive surgery. Truly awesome, I am blessed to have him as my gastro.","June 23, 2016",4,5,5,5
Dr. Gary May,"I love how this is a rate MD site and peeps like to dis the secretaries. First off all, they are secretaries for the Dr. - not a receptionist - meaning they don't just sit there and look pretty. They actually work quite hard. The secretaries are NOT drs and I have seen many patients expect the secretaries to answer questions they aren't allowed to and then get upset and write nasty things about them. The other problem about these sites is that anybody can write anything they want, for example, you get mad and you want your ""revenge""... you also get your friend who, by the way has never been in the office, write something nasty about the secretary. The secretary works for the dr. the secretary does what the dr. tells her/him. It is not up to the patient to becon or demand things from the secretary. For all you nasty pts who like to bully the secretary, I double dare you to act like that to the dr. By the way, Dr. May is great, and I think his secretary is too.","May 13, 2016",5,5,5,5
Dr. Gary May,"May never gets to the surgery part. It goes like this: consult->promise of corrective surgery->tests such as MRI/CT->consult four months later. Then repeat. Gallbladder needs to be removed because of stones, but can’t be until Dr. May gets around to repairing the pancreas. Meanwhile, constant pain and weight loss. Health deteriorating quickly and will not be a surgical candidate due to all May’s delay tactics.","April 8, 2016",1,3,1,4
Dr. Ronan Behar,Be mindful of the after effects of a colonoscopy. Three months later and I am kept up all night from the grumbling in my colon. The test results were normal so that's all I hear from that office. And a joke about a squeaky clean colon. Three months later and I wonder if my colon will ever recover. It WAS normal before the colonoscopy but now dancing the cha cha ever night since. Will I ever have a quiet night sleep again?,"September 21, 2017",1,3,1,2
Dr. Ronan Behar,Dr Behar ihimself is a great Dr. but as most reviews point out his receptionist was a piece of work. Lied about appointment date and never called to confirm and said she did. I was charged $50 for an app. I didn't know they scheduled....I would find another doctor if I wasn't already past the colonoscopy stage.,"September 19, 2017",1,1,1,5
Dr. Ronan Behar,"I am not sure how you can rate a doctor so horrible if you never saw the doctor! Rate MD is to rate the doctor, no? Dr. Behar is nothing but the best! He is caring and has helped me control my disease. I can contact him anytime through e-mails or phone calls and he responds. What doctor does that? As for his assistant, she is a gem. It bothers me that people who haven't seen him can give such horrible reviews. It's disappointing. I encourage their cancellation policy as many people take advantage of our health care system.","September 16, 2017",5,5,5,5
Dr. Ronan Behar,Dr. Behar's office staff are rude and disorganized. I would find another doctor.,"September 13, 2017",1,1,1,1
Dr. Ronan Behar,Very disappointed in Dr. Behar's office. Had an appointment booked and they gave it away to someone else because I didn't confirm in the timeframe. The receptionist was unapologetic about giving it away and refused to book me again because I complained. I am going to try to get into my Dad's specialist who was amazing to deal with when he needed this specialty.,"September 13, 2017",1,1,1,1
Dr. Ronan Behar,Best doctor ever! Nice looking office and staff. Told my family doc to send all his patients to Dr. Behar.,"July 25, 2017",5,5,5,5
Dr. Ronan Behar,"Amazing, attentive, kind are just a few words about Dr Behar. I felt in capable hands from the first meeting and into the procedures. Like everyone else nervous about the procedure (who wants a colonoscopy/endoscopy?) but confident about the Doctor. His secretary was kind and very professional.","July 5, 2017",5,5,5,5
Dr. Ronan Behar,"I was treated VERY rude on the phone by his receptionist. She was argumentative and in denial. 
I am very put off by her in-professionalism. Shame on you.","June 7, 2017",1,1,1,1
Dr. Ronan Behar,"Smart, punctual, and made me feel comfortable during scope. Definitely going back to him in 10 years for my next colonoscopy.","May 1, 2017",5,5,5,5
Dr. Ronan Behar,"Would never use this doctor again. His assistant was a rude nasty person whom I'm sure lied to doctor as she lied to me and my doctor and was caught on it Don't trust their facilities anymore. It seems like he doesn't really care how you are feeling, just wants to be able to bill Ohip for his so called services. Never got back to me like his assistant said she would do and he said he would do. Overall, I wouldn't trust anything they had to say or do especially if I was under anesthetic. Find another doctor folks.","April 30, 2017",1,1,1,1
Dr. Ronan Behar,"I first came under the care of Dr. Behar in 2012 and I did not know what to expect (could not find any reviews). I was extremely nervous as it was my first time having to have a scope done and my family doctor convinced me to do it. Dr. Behar exceeded all my expectations and was very informative and put all my doubts at ease. He explained the whole process to me and ensured me that I would be just fine. Truth be told, he was right! Everything went great and I did not remember a thing (loved the sedation). I saw him again just recently as I'm due for my repeat scope and he has not changed one bit. He is genuinely a caring Doctor that listens to your concerns and answered all my questions clearly yet again. I will never EVER see another GI as he is the best. If I was able to give 10 stars I would!","March 12, 2017",5,5,5,5
Dr. Ronan Behar,"Professional, effecient, helpful, respectful, knowledgable, relatable, friendly. Dr. Behar and his staff are the best I have ever come across in the medical field. This is how all medical facilities, specialist's, and any other niche in the medical field should operate. Well done.","February 13, 2017",5,5,5,5
Dr. Ronan Behar,Very informative with his diagnosis and has helped me with my sickness. I am blessed to have him as my doctor. Thank you.,"January 15, 2017",5,5,5,5
Dr. Ronan Behar,Dr. Behar is a credit to his profession. He cares and does his very best to use his in-depth knowledge to sort through the obvious and get to the root(s) of the problem(s)...would highly recommend him as a doctor and as someone who brings humanity to his work.,"January 12, 2017",5,5,5,5
Dr. Ronan Behar,"I have been seeing Dr Behar for just under a year now and he has been nothing short of amazing! I was quite sick when I initially went to see him and he took the time to carefully explain to me what was going on with my health and how we were going to fix me and he assured me that he would get me better. After our initial meeting I felt at ease with him and believed he would get me better and he has. I am not cured but he has helped me get my life back. He has been patient with my questions, concerned when I am having issues and I truly believe that he cares. That to me makes him a great doctor and I am thankful that he's in my corner","January 5, 2017",5,5,5,5
Dr. Ronan Behar,"It's interesting how the good comments all look the same. None of them describes any details, just mentioning in general how great the staff is, they do reminder calls, and etc. Very fishy.","December 20, 2016",1,1,1,1
Dr. Ronan Behar,I see a GI doctor in North York. It was just a matter of circumstance and wanted to see someone locally. My Family doctor referred me to him and he refused to see me saying I should continue seeing my GI doctor in North York. I need endoscopies and need sedation so you can only imagine the inconvenience of routine procedures with the distance and traffic. He responded not to me but to my family doctor asking why I needed to see someone closer when I already have someone in North York.,"November 28, 2016",1,1,1,1
Dr. Ronan Behar,"Hands downs the best doctor I have ever interacted with. He get top scores in all categories. Professionalism, genuine, caring, efficient and knowledgable. You are in good hands with him! He's almost too good to be true - but he's real! I highly recommend him.","November 11, 2016",5,5,5,5
Dr. Ronan Behar,"I have only seen Dr. Behar once, but was incredibly impressed by his professionalism, knowledge and listening skills. He is well worth the incredibly long time required for an appointment via a referral. I am looking forward to better health under his guidance.
.","August 26, 2016",5,5,5,5
Dr. Ronan Behar,I have been seeing Dr. Behar for the last 2 years. He is caring and knowledgeable. My family Doctor has blocked me from seeing Dr Behar even though I do have IBS.,"February 22, 2016",5,5,5,5
Dr. Ronan Behar,"Very thorough, caring and down to earth. Staff are very friendly and do reminder calls. Always on time. I drive from Fort Erie to see Dr. Behar and I will continue to do so.","February 17, 2016",5,5,5,5
Dr. Ronan Behar,Dr. Behar is a great caring man...Knows his job well...Explains everything in detail..Great on follow ups....On time as appointed...Staff is kind and calls for reminders...Highly recommend this Doctor,"January 18, 2016",5,5,5,5
Dr. Ronan Behar,"My experience with him and his office staff was exceptional. I was able to get an appointment on a timely basis. I found him to be a very dedicated, knowledgeable and caring doctor.","January 4, 2016",5,5,5,5
Dr. Ronan Behar,We have been nothing if not disappointed with the care and service provided by Dr. Behar. I am however grateful that others have not shared the same experience.,"December 22, 2015",1,1,1,1
Dr. Ronan Behar,"I have nothing but great things to say about Dr.Behar. Everything said below in the comments is true! I drive from Grimsby to see him and will NOT be changing my GI, even if I move further away.","October 13, 2015",5,5,5,5
Dr. Ronan Behar,I can echo all the comments below. Outstanding office. Alleviated all my fears about the procedure. His assistant is outstanding. I am lucky to have him as my doctor.,"October 3, 2015",5,5,5,5
Dr. Ronan Behar,"Outstanding! competent, honest, direct and realistic with excellent pleasant support staff! Exceeded our expectations and are very grateful for his above and beyond patient communication and follow up. We consider ourselves very fortunate to be under his long term care!","September 28, 2015",5,5,5,5
Dr. Ronan Behar,"Excellent experience with Dr Behar and his team. Strong communication skills, knowledgeable and helpful. Admin staff and nursing staff helpful, pleasant and very competent. Office appointments and procedures carried out with professionalism and great patient care. Highly recommend based in positive experiences. Dr Behar is willing to work with other physicians providing care for the same patient which is supremely helpful for patients needing info sharing between doctors and striving for 360 degree care.","July 23, 2015",5,5,5,5
Dr. Ronan Behar,Best office I've ever dealt with! Very professional and knowledgeable. Takes his time to explain medical terms. His secretary is very polite and always gives reminder calls. Great duo!!,"June 24, 2015",5,5,5,5
Dr. Ronan Behar,Both Dr Behar and his assistant are the best. Great team!,"May 4, 2015",5,5,5,5
Dr. Peter Rossos,amazing and knowledgable! Great patient care and staff.,"May 31, 2017",5,5,5,5
Dr. Peter Rossos,"Truly awful front desk staff! They are rude, inconsiderate and lack skills necessary for critical thinking. It seems they delete negative comments on here too (rather than addressing negative feedback)... so don't believe everything you read about him and his team!","May 19, 2017",1,1,1,1
Dr. Peter Rossos,"I really think Dr. Rossos is the best gastroenterologist. I have seen him for more than 15 year and I have never had a problem. One time one of his students did the colonoscopy and he was present all the time so I felt confident that every thing will go well. He is very kind and his staff as well.
M.E. Mejicano","May 29, 2016",5,5,5,5
Dr. Peter Rossos,I saw Dr . Rossos many years ago. He was my father's doctor and then mine. I had two colonoscopies with him. The second one didn't go so well. My colon was almost perforated but luckily it healed. His assistant performed the colonoscopy that day so I can't really blame him for that. I later switched to a colleague of his who had great knowledge in this field. Now he retired and I really need a good gastroenterologist.,"October 6, 2015",5,5,5,5
Dr. Peter Rossos,I have been seeing Dr Peter Rossos for over 20 years... All the other comments are true.. He is truly a caring Dr that takes time with his patients... He is certainly a rare Dr in his field... if you have any gastro issues ensure you get referred to him.. he is the best... Thank you Dr P Rossos.,"February 11, 2014",5,5,5,5
Dr. Peter Rossos,Dr. Rossos is absolutely incredible! I tell anyone who needs a gastroenterologist to try and be referred to him. I can't imagine ever being under anyone elses care. All doctors should strive to be like this man!,"August 23, 2013",5,3,5,5
Dr. Peter Rossos,"I have been seeing Dr. Rossos for 15 years or so and I adore him. He is kind, caring and compassionate. I have had many procedures under his care and I am always at ease, knowing that he excells in his field. Wish all doctors were as wonderful as this man.","May 24, 2013",5,3,5,5
Dr. Peter Rossos,Dr. Rossos is a wonderful doctor. He is very very smart but he talks to his patients and their families with kindness and never talks down to them. He is very patient in answering everyone's questions. I would not hesitate in recommending him to anyone needing a gastroenterologist.,"July 26, 2012",5,4,5,5
Dr. Peter Rossos,"My wife has been a patient of Dr. Rosso for the past 10 years. His bedside manner and his ability to clearly communicate what is involved when he has a diagnosis provides one with the full confidence that you are being treated by a real,caring professional. I highly recommend him !!!","June 29, 2011",5,5,5,5
Dr. Peter Rossos,"Dr. Rossos is a really nice, patient, and caring man who always has a smile. I believe his practice is currently full and not accepting new patients, which is a testament to how good he is.","July 14, 2010",5,5,5,5
Dr. Peter Rossos,Call the office and got this real cold hearted person; very disappointing; had an emmergecy and she could care less,"May 14, 2010",3,5,1,3
Dr. Peter Rossos,"Dr Rossos is a one of a kind doctor, increasingly rare in a society where old fashioned caring only lives in our memory. He is knowledgable, friendly and truly cares about his patients. If there were only more professionals like him, this would be a better world.","May 5, 2010",5,5,5,5
Dr. Peter Rossos,Dr. Rossos is awesome. He is kind and compassionate and cares about his patients and not just their illness. Sometimes (ok usually) he runs late but at least he listens. that beats getting rushed out anytime.,"April 6, 2010",5,4,5,5
Dr. Peter Rossos,"I was admitted at TGH under the care of Dr. Peter Rossos. I wish there were more doctors like him. He is extremely compassionate, experienced and truly cares about his patients. He carefully listens, answers all your questions and is very dedicated towards his patients. (Highly remommended)","February 2, 2010",5,5,5,5
Dr. Peter Rossos,"Today again I was blessed to see Dr.Rossos. I had to wait a bit perhaps 10 mins over, Here's how I see things. Dr. Rossos is a specialist in his field...today in Ontario it is difficult just to get top see a specialist, so for me to have the priviledge to see someone of his trainning, knowledge and consideration for his patients is worth every second of wait. Just as we are all busy and sometimes have to keep people waiting, immagine just for a moment...what type of visit do you wish to have with your doctor...would you like him to rush you through or take time with you and each of his patients? I prefer a good Doctor with a small wait! As usual he was caring and detailed. Thank you Doctor Rossos.","November 11, 2009",5,4,5,5
Dr. Peter Rossos,Dr. Rossos is the best in his field. He has a genuine concern for his patients and warm bedside manner. He is the only physician in his field that I would go to. He has looked after my healthcare for some 16-17 years.,"September 1, 2009",5,4,5,5
Dr. Peter Rossos,"Kind, caring; goes the extra mile to find ways to solve problems and help patients.","August 28, 2009",5,5,5,5
Dr. Peter Rossos,"Dr. Rossos is the most empathetic, patient, respectful and personable health care professional I have ever seen. His staff are also exceptionally helpful and personable.","March 30, 2009",5,5,5,5
Dr. Peter Rossos,"Excellent doctor, very helpful, knowledgeable, very friendly. The best doctor I have ever known!","September 27, 2008",5,5,5,5
Dr. Peter Rossos,Excellent doctor. Extremely knowledgable and friendly. Excellent wiht procdures.,"April 24, 2008",5,3,5,5
Dr. Peter Rossos,An absolutely delightful doctor who listens to you and makes helpful suggestions.,"April 22, 2008",5,3,5,5
Dr. Peter Rossos,He is a gentleman and a gentle doctor who always listens to my requests and medical issues. He is friendly and takes the time to explain any procedures he is going to perform.,"March 14, 2007","Staff
3
Punctuality
5
Helpfulness
5
Knowledge",3,5,5
Dr. Bashir Sachedina,"Wonderful Doctor, patient kind and very knowledgeable . Very thorough","August 29, 2017",5,5,5,5
Dr. Bashir Sachedina,"Amazing doctor with an incredible knowledge of his speciality as well as medicine in general. Explained everything to me in a thorough manner and never skipped details or glossed over any information because I'm not in health care. Have been to other gastroenterologists in Brampton and in Toronto, and he is by far the best. 
Don't blame him for long wait times - it's a systemic issue in Canadian health care.","May 23, 2017",5,5,5,5
Dr. Bashir Sachedina,"Misdiagnosed me with pancreatitis, took little time to read all my reports and exams.
Communication skills ok but should improve.","May 11, 2017",4,4,3,3
Dr. Bashir Sachedina,He is the best look at the reviews the only complain in the reviews is the patient herself sh wants everyone to dance to her tune,"November 3, 2016",5,5,5,5
Dr. Bashir Sachedina,"Incredible doctor who goes above& beyond to find the problem. LOVE him & his wife. The receptionist is very good as well, always extremely accommodating & has a friendly manner. He did his best to stay on track due appointnents but things happen& he takes the time to listen. I worry what will happen when he decides to retire, I can't imagine finding another specialist like him. :(","September 17, 2016",5,4,5,5
Dr. Bashir Sachedina,"I've been with Dr. Sachedina for 10+ years now and he is by far the best doctor I've dealt with. He's knowledgeable and caring and takes the time to listen to you, explain his thought process and consider your opinions with regards to care. Thank you Dr. Sachedina, I would not be in as good a shape without you.","August 12, 2016",5,4,5,5
Dr. Bashir Sachedina,"Monday April, 18, 2016
First off, I never got the chsnce to see this stupid dr. 
I spent 6 hrs in emerg only to find out that they ""couldn't"" do anything for me and had to refer me to a Dr to check me out. 
So here's what happened. 
First off, I got a call 2 weeks AFTER my visit in emerg for the appointment. Only to have them tell me it was booked for mid may, more than a month and a half AFTER my visit to emerg. It's a good thing that what was going on with me wasn't life threatening because I'd be dead by then. 
I had SPECIFICALLY told the emergency room Dr that I could NOT do an appt before 11 am because I am a single parent who doesn't drive and I have to drop my daughter off at school for 9 am. So it would take me OVER an hr to get to the hospital from where I am and I have to drop my daughter off at school for 9 am so I needed time for transfer and such. He explained he would write that oncane referral and he did, as he had shown me BEFORE the referral was faxed over. 
I got a call from Dr. Bashirs office about 2-3 weeks later, and they told me my appointment (in the voicemail) would in MID MAY (wtf???) at the hospital for 8:30 am and I had to be there at 7:30!!!! ARE THESE IDIOTS DAFT!!!!????? I KNOW what the referral said. And the printing was VERY clear on it. 
So I call them back to tell them A) to cancel the stupid appointment because NOW I didn't need it any more and B) to give then shit for not following simple f***ing instructions.
Here's the best part. I've been calling them all morning(14 times nkw) to try to do all this and I can't get through. There's no voicemail and apparently the o KY have one line. The first time o called this morning she put me on hold for over 3 min. I'm sorry but I don't have that kind of time. I already have another idea appointment to go.to this morning. 
I am SICK of the drs here in Canada NOT LISTENING TO THE PATIENT!!! And the fact that the emergency rok..doesn't have a scope to put down patients throat to find out what's going on? That's a bunch of bs. 
It's now 45 min later and I STILL can't get through. Lol. I dont give a crsp how ""good"" a dr is, theyre shit if they dont have an answering maching their pateints csn leave a messagenin EVEN DURING BUSINESS HOURS!!!! His office is a joke!","April 18, 2016",1,1,1,1
Dr. Bashir Sachedina,"Very knowledgeable, brilliant and caring doctor who keeps up to date with the latest advances in gastroenterological research. Has excellent knowledge about other sub specialities too. I have moved out of Brampton but made 4 hour trip to come and see him.","April 12, 2016",5,5,5,5
Dr. Bashir Sachedina,About 12 years ago I was diagnosed with UC Dr Sachedina was never available when I would become I'll which would lead to me being in the ER for long period of time. He also over dosed me steroids.,"January 10, 2016",3,1,2,3
Dr. Bashir Sachedina,"Dr. Sachedina is a brilliant gastroenterologist. Stays up to date with current advances in gastroenterological research and communicates these advances as well as treatment options clearly to his patients. Dr. Sachedina gives strong recommendations as to his patient's treatment plans however leaves them with the final say. Would recommend him to all, you are very lucky if you are able to be seen by Dr. Sachedina.","January 4, 2016",5,4,5,5
Dr. Adam Weizman,"He couldn't think outside of the box, the pill box. Just prescribed meds that didn't work or stopped working. He didn't consider food intolerances, which turned out to be the case. All the pills, fiber, water in the world is not going to help for as long as I'm eating just one thing that I'm intolerant of.","September 9, 2017",2,3,3,2
Dr. Adam Weizman,"my twin daughters have started seeing Dr Weizman recently and like the reviews below, he is patient, kind and through, so far so good, Im impresses!!!!","August 11, 2017",5,5,5,5
Dr. Adam Weizman,We are very lucky in Canada to have such an intelligent doctor. so dedicated and so hard working. one of the best.,"August 11, 2017",5,5,5,5
Dr. Adam Weizman,was referred to dr.w and I find that he is knows his stuff and goes the extra mile to try to find out what has been ailing me.,"March 1, 2017",5,5,5,5
Dr. Adam Weizman,"I met Dr Weizman for the first time today. He is kind, efficient, knowledgable and personable. I am quite confident that he will be the perfect doc to manage my Crohn's moving forward. Thanks Dr Weizman!","November 22, 2016",5,5,5,5
Dr. Adam Weizman,"He is very good to deal with, professional and proactive with analyzing my chrons. I was diagnosed with crohn's 6 years ago and have had very few stomach issues but more issues related to rheumatoid arthritis. It is still inconclusive as to what my autoimmune disease is but he was very helpful in trying to understand some of my symptoms and working through exactly if I had Crohn's or another autoimmune disease","October 26, 2016",5,4,5,5
Dr. Adam Weizman,Visited me as an inpatient in place of my regular Attending physician. Took all the tome needed to address any questions or concerns. Treated me with respect and compassion. Very knowledgeable. Excellent bedside manner.,"May 18, 2016",5,5,5,5
Dr. Adam Weizman,"Dr. Weizman is punctual, efficient, and very thorough. He listens carefully and explains things clearly. His colonoscopies are done with an effective anaesthetic/sedative that has no unpleasant after-effects. He seems to love his profession and is a positive, cheerful person.","June 17, 2015",5,5,5,5
Dr. Adam Weizman,"Dr. W. is by far one of the most compassionate and competent physicians I have ever met. I have been dealing with combat injuries sustained while I was in the military up until last year when I was medically retired. No Army doctor could ever compare to Dr. W's abilities and bedside manner. I would recommend to anyone that they see him no matter what the distance you must travel. He has the tools and the know-how to fully treat your pain issues. I have lower back injuries, chronic migraines and severe nerve damage throughout my body. He has been able to utilize an array of different techniques and tools to lower my pain immensely. He doesn't push one treatment over another just for the sake of a kickback like other doctors may. He is understanding and listens to your needs without talking over you. I would go to no other physician than himself. On top of his expertise he also has a great staff working for him. They are on the ball and always helpful with follow up calls on days after procedures. You can't get it any better than at South Bay Pain Docs. Great doctor and great staff--what more could you ask for?!","April 28, 2015",5,5,5,5
Dr. Adam Weizman,I have been a patient of this doctor for a short period of time but I have complete confidence in him. He has an excellent manner with patients and I am confident that his abilities will allow him to determine my problem and find a solution. I feel fortunate to have been referred to him,"April 2, 2014",5,5,5,5
Dr. James Hewak,I saw Dr.Hewak only a couple of months ago and found him to be very helpful and knowledgeable. He is very friendly and personable as well.,"September 27, 2017",5,5,5,5
Dr. James Hewak,He gave me several different options of treatment. He is very friendly and listens.,"September 26, 2017",4,2,4,5
Dr. James Hewak,Dr Hewak is a caring down to earth doctor. He has helped me a lot and diagnosed my problem quickly. Simply gave me options and was very clear and concise to treating my issue. I highly recommend his.,"June 14, 2017",5,5,5,5
Dr. James Hewak,"he is an amazing , kind and super smart
he always makes me feel important.","January 23, 2017",5,5,5,5
Dr. James Hewak,"I have heard nothing but good things about Dr. Hewak. I wasn't nervous or anything. But he was a half hour behind with my appointment, that was fine. Then finally when I got into the room, he was friendly. But all I can remember from my colonoscopy is pain- really bad pain. And then when I was done, he did not come see me at all to explain what went right or what he could see. I did not see him AT ALL. The nurses rushed me out of the recovery room so quickly and I was still so disoriented that they basically shoved me out of there. Only to find out that he wants to see me in four weeks?! I'm still going to be completely sick for four weeks with no answers from him. Haven't stopped crying since I got home. I am very frustrated with Dr. hewak and the whole situation.","December 23, 2016",3,3,2,4
Dr. James Hewak,"I LOVE DR. HEWAK!!! I have seen and have had many procedures done by other doctors and dr. Hewak is by far 100% the best! I am in great hands and finally feel safe with a doctor!! Staff is awesome. Out of all my colonoscopies done by different doctors, I was never sedated enough. He was the only one who listened to me and made sure I would be comfortable. He was right! For the first time, I had no memory of the procedure! Thank you Dr. Hewak!","April 25, 2016",5,5,5,5
Dr. James Hewak,"I have been seeing Dr Hewak for many years and it is always a pleasant experience, or as pleasant as it could given the situation. He is always extremely caring and shows genuine interest not only about your health but also in you personally. I have found him to be extremely knowledgeable and an excellent all round doctor. I have had extensive interactions with the office staff because as of a few months ago I now also get Remicade infusions at the clinic. His staff is always personable and kind as well as helpful.","January 20, 2016",5,5,5,5
Dr. James Hewak,Dr Hewak is a gem of a Dr. Lovely caring beside manner. Seems to be very knowledgeable and good at what he does. I am seeing him tomorrow for a colonoscopy and endoscopy at the General and know I am in good hands.,"November 3, 2015",5,5,5,5
Dr. James Hewak,"I don't find Dr.Hewak helpful at all .I have been struggling with a very painful gastritis for some time now. Since he had not found any particular damage during the scope he seems to have lost interest in helping me .His secretary acts like she is doing you a favour when making an appointment. He is nice , kind and good at what he does but I have yet to see that as my condition continues to wreck my life.","July 7, 2015",2,4,2,4
Dr. James Hewak,Dr. Hewak is the most awesome doctor ever. I went for a follow up appointment with him today and after discussing his findings I talked to him a little about some other health issues I was having and the difficulty I was having getting the help I need from my family doctor and another specialist. They won't even order the labs I need. Even though this was not in his area of expertise he ordered all of the labs I wanted and said that he didn't know why everyone was being so difficult. Perhaps a small gesture but it meant so much to me. Thank you Dr. Hewak!,"June 8, 2015",5,5,5,5
Dr. James Hewak,Amazing dr that actually listens to you and trusts that you know your body as well. I was admitted to the hospital for 2 weeks and he came by almost everyday after he left his office to see me. Amazing Dr.,"December 1, 2014",3,5,5,5
Dr. James Hewak,Told me my pain was nothing serious and now I have liver disease that may not have been diagnosed.,"August 13, 2012",3,4,2,1
Dr. James Hewak,"Amazing doc., with excellent knowledge and very caring, will keep for a long time.","July 11, 2012",5,5,5,5
Dr. James Hewak,"I had been going to Dr Hewak for years with my bowel problems. Although most patients on this site recommend him I have a bit of infor to watch out for. I had an experience in Dr hewaks office with a simple scope. During the procedure he punctured my bowel, and although I know the chances of this happening is 1 in 10000, it happened to me. What I don't understand is that when I awoke Dr. Hewak told me he had punctured my bowel. I don't remember much after that except that I was sent to emergency not in an ambulance but by car driven by my spouse. Thats all I remember of the experience except that I had the Hartman procedure and ended up on breathing machines three times in the next 6 months. Remember patients doctors make mistakes, but when its your life ask all the right questions before the procedure especially if you are considered an emergency after a procedure. I should have gone in ambulance..Lucky for me I am still here, although the exp has cost me my life in other ways.","November 22, 2011",4,3,2,3
Dr. James Hewak,"Dr. Hewak has treated several members of our family and has been unfailingly kind, patient, and helpful.","July 14, 2011",5,5,5,5
Dr. James Hewak,"Dr. Hewak is competent, approachable, professional and brilliant in his field.","October 28, 2010",5,5,5,5
